Event,Card Colour,Time,Conversion,For
Try,,77,Missed,glasgow warriors
Substitution,,57,,glasgow warriors
Substitution,,56,,glasgow warriors
Substitution,,56,,glasgow warriors
Substitution,,50,,glasgow warriors
Substitution,,48,,glasgow warriors
Card,Yellow,46,,glasgow warriors
Substitution,,43,,glasgow warriors
Substitution,,41,,glasgow warriors
Substitution,,41,,glasgow warriors
Penalty,,19,Scored,glasgow warriors
Substitution,,74,,edinburgh
Substitution,,70,,edinburgh
Substitution,,70,,edinburgh
Substitution,,70,,edinburgh
Substitution,,68,,edinburgh
Substitution,,66,,edinburgh
Penalty,,59,Scored,edinburgh
Try,,49,Converted,edinburgh
Substitution,,41,,edinburgh
Penalty,,25,Scored,edinburgh
Penalty,,4,Scored,edinburgh
