Event,Card Colour,Time,Conversion,For
Try,,73,Converted,dragons
Substitution,,65,,dragons
Substitution,,56,,dragons
Substitution,,56,,dragons
Substitution,,52,,dragons
Substitution,,52,,dragons
Substitution,,52,,dragons
Penalty,,44,Converted,dragons
Try,,1,Converted,dragons
Substitution,,73,,benetton
Try,,56,Converted,benetton
Substitution,,52,,benetton
Try,,50,Missed,benetton
Substitution,,46,,benetton
Penalty,,32,Converted,benetton
Penalty,,28,Converted,benetton
Substitution,,12,,benetton
Try,,5,Missed,benetton
