Event,Card Colour,Time,Conversion,For
Try,,76,Missed,ulster
Substitution,,73,,ulster
Substitution,,64,,ulster
Try,,60,Converted,ulster
Substitution,,59,,ulster
Substitution,,55,,ulster
Substitution,,54,,ulster
Substitution,,52,,ulster
Substitution,,52,,ulster
Try,,33,Converted,ulster
Substitution,,24,,ulster
Card,Yellow,0,,ulster
Penalty,,81,Converted,munster
Substitution,,68,,munster
Substitution,,66,,munster
Substitution,,66,,munster
Penalty,,65,Converted,munster
Substitution,,62,,munster
Substitution,,55,,munster
Substitution,,55,,munster
Substitution,,54,,munster
Substitution,,54,,munster
Penalty,,51,Converted,munster
Penalty,,11,Converted,munster
