Event,Card Colour,Time,Conversion,For,Score
Home Score,,,,,26
Away Score,,,,,17
Substitution,,75,,munster
Substitution,,73,,munster
Try,,71,Converted,munster
Substitution,,69,,munster
Substitution,,69,,munster
Substitution,,65,,munster
Substitution,,65,,munster
Penalty,,64,Converted,munster
Substitution,,58,,munster
Penalty,,43,Converted,munster
Penalty,,39,Converted,munster
Penalty,,34,Converted,munster
Substitution,,29,,munster
Try,,14,Converted,munster
Try,,80,Converted,leinster
Substitution,,73,,leinster
Substitution,,73,,leinster
Substitution,,68,,leinster
Substitution,,68,,leinster
Substitution,,65,,leinster
Substitution,,59,,leinster
Substitution,,59,,leinster
Substitution,,59,,leinster
Try,,47,Converted,leinster
Substitution,,40,,leinster
Substitution,,35,,leinster
Card,Red,31,,leinster
Card,Yellow,29,,leinster
Penalty,,23,Converted,leinster
Card,Yellow,16,,leinster
