Event,Card Colour,Time,Conversion,For,Score
Home Score,,,,,27
Away Score,,,,,25
Try,,83,Converted,benetton
Substitution,,70,,benetton
Substitution,,62,,benetton
Substitution,,62,,benetton
Penalty,,60,Missed,benetton
Substitution,,57,,benetton
Penalty,,54,Converted,benetton
Try,,51,Converted,benetton
Substitution,,48,,benetton
Substitution,,47,,benetton
Substitution,,47,,benetton
Substitution,,47,,benetton
Card,Yellow,36,,benetton
Try,,29,Converted,benetton
Penalty,,24,Missed,benetton
Penalty,,13,Converted,benetton
Card,Yellow,83,,cardiff blues
Card,Yellow,79,,cardiff blues
Penalty,,73,Converted,cardiff blues
Penalty,,68,Converted,cardiff blues
Substitution,,66,,cardiff blues
Substitution,,57,,cardiff blues
Substitution,,57,,cardiff blues
Substitution,,57,,cardiff blues
Penalty,,57,Converted,cardiff blues
Substitution,,52,,cardiff blues
Substitution,,52,,cardiff blues
Substitution,,52,,cardiff blues
Penalty,,45,Missed,cardiff blues
Penalty,,40,Converted,cardiff blues
Penalty,,38,Converted,cardiff blues
Try,,34,Converted,cardiff blues
Penalty,,20,Converted,cardiff blues
Penalty,,4,Missed,cardiff blues
